Artist,Song,Lyrics
The Weeknd,In The Night,"All alone, she was livin'
In a world without an end or beginnin'
Baby girl was livin' life for the feelin'
But I don't mind, I don't mind, oh
And all the wrongs she committed
She was numb and she was so co-dependent
She was young and all she had was the city
But I don't mind, I don't mind

And I know
That she's capable of anything, it's riveting
But when
You wake up she's always gone, gone, gone, oh

In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin'
Dollar bills and tears keep fallin' down her face
She'll never walk away
I don't think you understand

He sang a song when he did it
He was cold and he was so unforgiving
Now she dances to the song on the minute
Yeah, all the time, all the time, oh
It make her weak when she hear it
And it got her on her knees like religion
She was young and she was forced to be a woman
Yeah, all the time, all the time

And I know
That she's capable of anything, it's riveting
But when
You wake up she's always gone, gone, gone, oh

In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin'
Dollar bills and tears keep fallin' down her face
She'll never walk away
I don't think you understand

Oh baby
I don't think you understand
I don't think you understand
I don't think you understand
Oh no, no
I don't think you understand

In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin'
Dollar bills and tears keep fallin' down her face
She'll never walk away
I don't think you understand"
The Weeknd,Kiss Land,"When I got on stage, she swore I was six feet tall
But when she put it in her mouth
She can't seem to reach my
Ballin' ain't an issue for me
I'll make a hundred stacks right back next week
Do it all again, I'm faded off the wrong thing, the wrong thing
And I'll admit, baby, I'm a little camera-shy
But exceptions can be made, baby, ‘cause you're too damn fly
For what it's worth, I hope you enjoy the show
'Cause if you're back here only takin' pictures
You gon' have to take your ass home

'Cause the only thing you're takin' is your clothes off
Go 'head, girl, strip it down, close your mouth
I just wanna hear your body talk

(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Oh girl, don’t hold back, let it out
(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Oh girl, don’t hold back, let it out
(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Don’t hold back, let it out
(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Don’t hold back

You can meet me in the room where the kisses ain't free
You gotta pay with your body
Not really into kisses leading into nothing
I'm into shows every night, if you play your cards right
I might fuck around, bring your whole crew on tour
Fuck around, turn you to my West Coast girl
Until they book a show in NYC
Gotta fly back east where the city don't sleep
Woah, I'm tryna finish all this potion
Baby, take your time, tryna sip it 'til the mornin'
And if you're still up, I'm tryna fuck you in the mornin'
Said I'm two days strong
And never sleep until it's mornin', until the mornin'

'Cause the only thing you're takin' is your clothes off
Go 'head, girl, strip it down, close your mouth
I just wanna hear your body talk

(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Oh yeah, don’t hold back, let it out
(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Oh girl, don’t hold back, let it out
(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Don’t hold back, let it out
(Nothing is going to change my love for you)
(Nothing is going to change my love for you)
Oh yeah, don’t hold back


I got a brand new place, I think I've seen it twice all year
I can't remember how it looks inside
So you can picture how my life's been
I went from starin' at the same four walls for 21 years
To seein' the whole world in just 12 months
Been gone for so long I might have just found God
Well, probably not, if I keep my habits up
Probably not if I can't keep up with lovin'
And I can't stand talkin' to brand new girls
Only bitches down to fuck when you shower them with ones
Probably not if my niggas round them up
Probably not if we take 'em to my spot
Probably not if I tweak all day just to sleep at night
Goddamn, I'm high
My doctor told me to stop
And he gave me somethin' to pop
And I mix it up with some Adderall's
And I wait to get to the top
And I mix it up with some alcohol and I pour it up in a shot
I don't care about you, why you worried 'bout me?
All I want is that smoke, give me all of that smoke
Last week was my rough week
I'm still drippin' down from my nose
And I don't know how to drive, I make my driver get high
But If he goes under that 110, believe my driver get fired
And I don't got any friends, I got XO in my bloodwork
And I'm posted up down in Florida, 
Ft. Lauderdale to that MIA
Cold drinks with Grand Marnier
To the break of dawn, Kahlua milk
White Russian when the sun hits
White Russians with tongue tricks
I like the feeling of tongue rings
She like the way my whole tongue flip
She grind hard for tuition
She grind hard 'til her teeth chip
I make her hide it with gold grills
I make her suck it with gold grills
In the back room of the VIP, she don't ever sleep…

This ain't nothing to relate to
This ain't nothing to relate to
This ain't nothing to relate to
This ain't nothing to relate to
Even if you tried, you tried, you tried
You tried, you tried, you tried
You tried, you tried, you tried
You tried, you tried, you tried
This ain't nothing to relate to
This ain't nothing to relate to
This ain't nothing to relate to
This ain't nothing to relate to
Even if you tried, you tried, you tried
You tried, you tried, you tried
You tried, you tried, you tried
You tried, you tried, you tried"
The Weeknd,Rolling Stone,"Ooh
Yeah, yeah, yeah

Now you're thinkin' 'bout it
Girl you're thinkin' 'bout it
What we got here
How we fuckin' got here
They recognized
They just recognize
I'm in a life without a home so this recognition's not enough
I don't care about nobody else
Cause I've been on these streets way too long, too long, too long
Baby, I've been on this too long

'Cause getting faded too long
Got me on this rolling stone
So I take another hit
Kill another serotonin
With a hand full of beans
And a chest full of weed
Got me singing bout a bitch
While I'm blowing out my steam
Yeah, I know I got my issues
Why you think I fuckin' flow?
And I'ma keep on smoking 'til I can't hit another note

Ooh, but until then
I got you, ooh
Baby, I got you, ooh
Until you're used to my face
And my mystery fades
I got you, ooh

So, baby, love me, oh
Before they all love me
Until you won't love me, oh
Because they'll all love me, ooh
I'll be different, oh
I think I'll be different, ooh
I hope I'm not different, oh
And I hope you'll still listen

But until then
Baby, I got you, ooh
I got you, oh, ohh
Girl, I still got you, oh-ohh
And I got you, ooh, woah"
The Weeknd,Angel,"Ooohh

Angel, oh oh oh oh
Knew you were special from the moment I saw you
I saw you, yeah
I said angel, oh oh oh oh
I feel you're closer every time I call you
I call you

Cause all I see are wings, I can see your wings
But I know what I am and the life I live, yeah, the life I live
And even though I sin, maybe we are born to live
But I know time will tell if we're meant for this
Yeah, if we're meant for this

And if we're not
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah

Said angel, woah oh oh oh
You'll probably never take me back and I know this
Yeah I know this, aw man
I said angel, woah oh oh oh
I'm so desensitized to feeling these emotions
Yeah, no emotions baby

Cause all I see are wings, I can see your wings
But I know what I am and the life I live, yeah, the life I live
And even though I sin, we all want to live
But I know time will tell if we're meant for this
Yeah if we're meant for this

And if we're not
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah

And even though we live inside
A dangerously empty life
You always seem to bring the light
You always seem to bring the light
And even though we live inside
A dangerously empty life
You always seem to bring me light
You always seem to bring me light

I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah, oh
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah, oh
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah, oh

Ooh somebody baby
I hope you find somebody
I hope you find somebody
I hope you find somebody baby
Somebody to love
Somebody to love
Yeah, yeah, yeah"
The Weeknd,Shameless,"Say it louder, say it louder
Who's gonna love you like me, like me?
Say it louder, say it louder
Who's gonna touch you like me, like me?

Ooh, said you wanna be good, but you couldn't keep your composure
Ooh, said you wanna be good, but you're begging me to come over
Ooh, come over, ooh
Saying, who's gonna fuck you like me? Yeah

I don't wanna hurt you, but you live for the pain
I'm not tryna say it, but it's what you became
You want me to fix you, but it's never enough
S'why you always call me, cause you're scared to be loved

But I'll always be there for you, I'll always be there for you
I'll always be there for you, girl, I have no shame (shame)
I'll always be there for you, I'll always be there for you
I'll always be there for you, girl, I have no shame (shame)

Say it louder, say it louder
Who's gonna love you like me, like me? Yeah
Say it louder, say it louder
Who's gonna touch you like me, like me?

Ooh, said it'd be the last time, all you needed was a little closure
Ooh, said it'd be the last time, but you're begging me to come over
Ooh, come over, ooh
Saying, who's gonna fuck you like me? Hey

I don't wanna hurt you, but you live for the pain
I'm not tryna say it, but it's what you became
You want me to fix you, but it's never enough
S'why you always call me, cause you're scared to be loved

But I'll always be there for you, I'll always be there for you
I'll always be there for you, girl, I have no shame (shame)
I'll always be there for you, I'll always be there for you
I'll always be there for you, girl, I have no shame (shame)

Who's gonna fuck you like - Hey!

I don't wanna hurt you, but you live for the pain
I'm not tryna say it, but it's what you became
You want me to fix you, but it's never enough
S'why you always call me, cause you're scared to be loved

But I'll always be there for you, I'll always be there for you
I'll always be there for you, girl, I have no shame (shame)
I'll always be there for you, I'll always be there for you
I'll always be there for you, girl, I have no shame (shame)"
The Weeknd,Try Me,"Any time is the time
Any time for you to get my call, baby (so, baby)
Are you alone, baby?
If he ain't around, pick up your phone, baby
Whoa

Can you try me? (try me), try me (try me)
Once you put your pride aside
You can notify me (-fy me), -fy me (-fy me)
You're the best I ever had
Baby girl, remind me (-mind me), -mind me (-mind me)
Let me know if it's on
And you know where to find me, find me
Havin' thoughts you never had, yeah

I didn't know you were down for him finding out
I thought you had some kind of love for your man
Well, I'm not tryna break up something
You've been workin' out, you've been steady
But I'm ready to go all the way if you let me
Don't you tempt me
You're lookin' grown since the last time I looked at you
It might have been, been about a couple months
But I just got the picture that you texted to me
You ain't steady, you look ready to go all the way
If you let me take you down on me

Can you try me? (try me), try me (try me)
Once you put your pride aside (once you put your pride aside)
You can notify me (-fy me), -fy me (-fy me)
You're the best I ever had (you're the best I ever had)
Baby girl, remind me (-mind me), -mind me (-mind me)
Let me know if it's on (let me know)
And you know where to find me, find me (hey)
Havin' thoughts you never had, yeah
Can you try me? Try me, try me
Once you put your pride aside
You can notify me, -fy me
You're the best I ever had (you're the best I ever had)
Baby girl, remind me, -mind me
Lemme know if it's on (let me know)
And you know where to find me (find me), find me (find me) Having thoughts you never had, yeah

Oh, lo
Lo-lo-lo-lo-lo-lo
Lo-lo-lo-lo-lo, lo-lo-lo
Lo-lo-lo-lo-lo-lo
Better try me

Don't you mess with me
Don't you mess with me
The way I kissed your scars
The way I fixed your heart, oh
Don't you miss me, babe?
Don't you miss me, baby?"
The Weeknd,Privilege,"Enjoy your privileged life
'Cause I'm not gonna hold you through the night
We said our last goodbyes
So, let's just try to end it with a smile

And I don't wanna hear that you are suffering
You are suffering no more
'Cause I held you down when you were suffering
You were suffering

Blues away, way, way
I got two red pills to take the blues away
Blues away, way, way
I got two red pills to take the blues away

And I'ma fuck the pain away, and I know I'll be okay
They said our love is just a game, I don't care what they say
But I'ma drink the pain away, I'll be back to my old ways
And I got two red pills to take the blues away, oh

I don't wanna hear that no more, no more
No more, no more
I don't wanna hear that no more"
The Weeknd,Six Feet Under,"Ask around about her
She don't get emotional
Kill off all her feelings
That's why she ain't approachable
She know her pussy got a fanbase
A couple niggas with a suitcase
Suit and tie niggas who play roleplay
When it comes to money she play no games

She lick it up just like a candy
She wanna make them leave their family
She trying to live a life so fancy
She wanna pull up in a Bentley
She ain't got time for lovin'
Louis Vuitton her husband
She rather die in lusting
She rather die in the club, 'til she

Six feet under she gon' get that fucking paper
Six feet under she gon' get that fucking paper
Six feet under she gon' get that fucking paper
You know how she get down, pop it for a check now
Six feet under, six, six feet under
Six feet under, six, six feet under
Six feet under she gon' kill me for that paper
Not the type to fuck around, gonna turn that ass around

She don't depend on anybody
Know just what to do with her own body
Counting all that money like a hobby
She don't give a fuck about nobody
And she got her whole crew poppin'
And she bend it over like she got no back bone
Got a couple niggas blinging up a trap phone
She don't need nobody waiting back home, she got it

She lick it up just like a candy
She wanna make them leave their family
She trying to live a life so fancy
She wanna pull up in a Bentley
She ain't got time for lovin'
Louis Vuitton her husband
She rather die in lusting
She rather die in the club, 'til she

Six feet under she gon' get that fucking paper
Six feet under she gon' get that fucking paper
Six feet under she gon' get that fucking paper
You know how she get down, pop it for a check now
Six feet under, six, six feet under (That fuckin' paper)
Six feet under, six, six feet under (That fuckin' paper)
Six feet under she gon' kill me for that paper
Not the type to fuck around, gonna turn that ass around

Gonna turn that ass around
Oh murder, oh murder
Gonna turn that ass around
Oh murder, oh murder

Real love's hard to find
So she don't waste her time
So she don't waste her time, oooh
You ain't gon' catch her crying
She ain't gon' lose her mind
She ain't gon' lose her mind
'Til she..

Six feet under she gon' kill me for that paper ('Til she)
Six feet under she gon' kill me for that paper ('Til she)
Six feet under she gon' kill me for the paper
Not the type to fuck around, gonna turn that ass around"
The Weeknd,The Party & The After Party,"I understand, your body wants it
I know your thoughts, oh you 'bout it, 'bout it
You're a big girl and It's your world
And I'ma let you do it how you wanna

Girl, now ride wit it, ride wit it
I know you know, I know you wanna ride wit it
Don't be shy wit it, I'll supply wit it
I got you, girl, oh, I got it, girl
With your Louis V. bag, tats on your arms
High heel shoes make you six feet tall
Everybody wants you, you can have them all
But I got what you need..
Girl I got your bag, I got it all
Hold your drink baby don't you fall
Be there in a minute baby just one call
You don't gotta ask me

You always come to the parties (Ohh)
To pluck the feathers off all the birds
You always come to the parties (Ride, ride)
On your knees
I will not beg you, please

Girl, pick up them shoes, I'll race your ass up all them stairs
Just grab a room I swear no one will interfere
Girl, bring your friends if you want we can share
Or we can keep it simple baby we can just

Ride wit it, Ride wit it
I know you know, I know you wanna *sniff* wit it
Don't be shy wit it, I'll supply wit it
I gotchu, girl, oh, I got it, girl
With your Louis V. bag, tats on ya arms
High heel shoes make you six feet tall
Everybody wants you, you can have them all
I got what you need
Girl, I got your bag, I got it all
Hold your drink baby don't you fall
Be there in a minute baby just one call
You don't gotta ask me

You always come to the parties (Ohh)
To pluck the feathers off all the birds
You always come to the parties
On your knees
I will not beg you, please
I will not, I will not, I will not, I will not, I will not

Ride wit it, ride wit it
I know you know
I know you wanna line wit it
Don't be shy wit it
I'll supply wit it
I got you girl
Oh, I got it girl
I know you wanna line wit it, line wit it
I know you know
I know you wanna
Ohh, ohh
I got you girl
Oh, I got you girl
And
Oh, I got it girl
Oh, I got it girl


I think I'm fuckin' gone, rollin' on this floor
Messin' up your carpet
I'll get on it after four more
Sessions of the strong on your floor
Shoulda fuckin' rolled, but I fuckin' pulled
Feelin' like a million bucks before
I walked through this door
When I walked through your door
Can't believe I made it
But I made it that's for sure
For sure
Your lovin'
I need more
I need yours
She ain't lookin' for that unconditional
What the fuck these bitches on?
They want what I'm sittin' on
They don't want my love
They just want my potential
Fuck it
I'll be sippin' on this, baby livin' off bliss
Got me drownin' in your love
Got me drownin' in the mist
Gimme right attention
Or I'll start drownin' from my wrist

Baby, if you knew
The feelin' I would give to you
Oh you, you
Ohh you
Cause I got it girl
Oh I got it girl
With me, with me
Whoa you
Whoa you, whoa you
Whoa you
Oh I got it girl
Oh I got it girl
With me, with me

I, I got a brand new girl
Call her Rudolph
She'll probably O.D. before I show her to momma
All these girls try to tell me she got no love
But all these girls never ever got her blow job
Ringtone on silent
And if she stops, then I might get violent
No call is worth stoppin'
So, momma please stop callin'
We can play all night
It just takes one night
To let me fuckin' prove

This feelin' I would give to you
Oh you, you
Oh you
Oh I got it girl
Yea, I got it girl
With me, with me, with you
You, oh you
Oh you, oh you
Oh I got it girl
Yea, I got it girl
With me, with me
Oh I got it girl"
The Weeknd,Twenty Eight,"This house is not a home to you
But you decide to go ahead and lay down, lay down
There are no words to describe the depth of your indifference
’Cause I see you’re here to stay
Should’ve known to pick my fate

I’m so wrong, I’m so wrong
(To let you in my)
To let you in my home
(Now you know where I sleep)
Now you know where I sleep
(Never felt so damn weak)

Hey there, lonely girl
Did you have to tell your friends about  the way I got you screaming my name?
Did you have to tell the world?
Now your girls all wanna fuck
Girl you could’ve been the one
Gotta change my number twice a month
When you could have simply kept it on the down low

I’m so wrong, I’m so wrong
(To let you in my)
To let you in my home
(Now you know where I sleep)
Now you know where I sleep
(Never felt so damn weak)

Baby if I knew you’d be living in my sheets
I wouldn’t have shown you any love
I would have left you in the club
You said you don’t belong
You keep saying there’s no one
And there’s no where to go
But who keeps calling on your phone?
I’m so wrong, I’m so wrong, I’m so wrong

I’m so wrong, I’m so wrong
(To let you in my)
To let you in my home
(Now you know where I sleep)
Now you know where I sleep
(Never felt so damn weak)
I’m so wrong, I’m so wrong
(To let you in my)
To let you in my home
(Now you know where I sleep)
Now you know where I sleep
(Never felt so damn weak)

Girl, if your man call your phone again
Girl, if your man call your phone again"
The Weeknd,Prisoner,"You bring good to my lonely life, honestly
It’s hard for me to look into your eyes
When I say that I would be nothing without your love
I feel the rush and it’s amazing

Maybe I’ve been always destined to end up in this place, yeah
I don't mean to come off selfish, but I want it all
Love will always be a lesson, let's get out of its way
'Cause I know, all I know, all I know

I’m a prisoner to my addiction
I’m addicted to a life that’s so empty and so cold
I’m a prisoner to my decisions
Woooo, woooo, woooo

I think I've been in Hollywood for too long (For too long)
'Cause I can feel my soul burning, feel it burning slow
But I would be nothing without the touch (Out the touch)
I feel the rush and it's amazing

Maybe I’ve been always destined to end up in this place
I don't mean to come off selfish, but I want it all (Want it all)
Love will always be a lesson, let's get out of its way (Out of its way)
'Cause I know, all I know, all I know

I’m a prisoner to my addiction
I’m addicted to a life that’s so empty and so cold
I’m a prisoner to my decisions
Woooo, woooo, woooo
I’m a prisoner to my addiction
I’m addicted to a life that’s so empty and so cold
I’m a prisoner to my decisions
Woooo, woooo, woooo

I don't know
I get so wrapped up in a world where nothing's as it seems
And real life is stranger than my dreams"
The Weeknd,Loft Music,"Oh, oh-ooh
Oh (woah), oh (woah)
Oh, oh

They say my brain meltin'
And the only thing I'll tell 'em is
I'm livin' for the present and the future don't exist
So, baby take your clothes off, a chance like this
You may never get to show off, show off
Show off what you talking about
Unless you like to tease, baby
When in reality you don't know how to please, baby
Blue-ball queen, take your fuckin' seat, baby
Ride it out, now I know you wanna scream, baby
Better than your next man
And if he swingin' I get dumber than the next man
'Cause I don't play
Unless it's keys, then I play all day (All day)
You like them keys? We gon' play all day (All day)
Wet dream fry your brain all day, all day
I think you lost your morals, girl (What?)
But it's okay 'cause you don't need 'em where we're goin'
In that two-floor loft in the middle of the city
After rollin' through the city with me
I promise you gon' see
That I'm only fuckin' 20, girl
Amnesia, put your mind in a dream world
What you doin' in the bathroom? (Woah)
I hear noises in the bathroom (Woah)
Baby, it's okay
We can do it in the living room
Twisting turns in 'em, the only girls that we fuck with
Seem to have 20 different pills in 'em
They tell us that they love us
Even though they want a next man
And the next man's bitch want the third man
Eddie Murphy shit, yeah, we trade places
Rehearse lines to them and then we fuck faces
Yeah, we know just how to get a buzz
Mix it with the hash, come fuck with us
I'm raw, mothafucka, I'm raw
My love so lost, and my niggas, man
These bitches can't touch what we got if they wanted
I'll plug any nigga that'll step
Man, I got 'em, yeah, I got 'em
'Til the ending of our credits
Life's such a movie, filmed independent, us against the city
Please don't get offended when we don't answer your calls
And if you got a problem, come and find us, we can talk about it
What's good, young ho? You about it?
Got a loft right now, you excited?
You excited

Ooh, ooh
Ah, ah
Ooh-ahh
What you thinkin' about?
What you thinkin' about?
Yeah
What you thinkin' about?
Ooh, what you thinkin' about?
What you thinkin' about?
What you thinkin' about?
What you thinkin'?
I been thinkin' 'bout, ooh
I know everything, ooh
I know everything
I know it all
I know it all
Ahh, ahh, ahh, ooh
Ooh-ahh, ahh, ahh
Ooh, oh no, no, no
Ahh, ahh-ooh, ooh"
The Weeknd,Initiation,"Oh, yeah, got you drinking out them white cups, sodas
All this shit so foreign to you, thick smoke, choking
Baby, get familiar with the order
Just crack it, then pour it, then sip slow, then tip low
My eyes red but my brim low, that XO
She climbing, straight to the top, forgetting why she there in the first place
No more crying, heart rate slow, put that rum down you don't wanna die tonight
I promise, when you’re finished, we’ll head to where I’m living
The party won’t finish, it’s a fucking celebration, oh yeah
For my niggas out tonight
And they high off Shakespeare lines
There's enough to pass around, you don't gotta wait in line
And the clocks don't work, you don't gotta check the time
And the blinds don't work, you don't gotta check the sky
We'll be going all night, 'til light

I got a test for you
You say you want my heart
Well, baby, you can have it all
There's just something that I need from you
Is to meet my boys

And you've been going hard, baby
Now you rolling with some big boys, baby
Got a lot you wanna show off, baby
Close that door before you take your fucking clothes off, baby
Don't mind, all my writings on the wall
I thought I passed my peak, and I'm experiencing fall
And all I wanna do is leave cause I've been zoning for a week
And I ain't left this little room, tryna concentrate to breathe
Cause this piff so potent, killing serotonin
In that two floor loft in the middle we be choking
On that all black voodoo, heavy gum chewing
Go on if you thirsty, baby, if you dancing
Grab a cup of that XO, baby, I been leaning
Back from the come down, girl, I've been fiending
For another round, don't you blame it on me
When you're grinding up your teeth and it's fucking hard to sleep

I got a test for you
You said you want my heart
Well, baby, you can have it all
There's just something that I need from you
Is to meet my boys
I got a lot of boys
And we can make you right
And if you get too high

Baby, come over here and
Ride it out, ride it out
Work that butt 'til I tire out
Roll that weed, bring that fire out
Taste that lean when you kiss my mouth
Bed so wet when I eat you out
Girl's friends scream that I'm creeping out
If they're not down, better keep em out
Ex-man hollering, keep him out
Hard to let go, I could teach you how
Take a puff of this motherfucking reefer now
Bet a shot of this cognac, ease you out
Just one night, trying to fucking leave you out
Baby, baby

I got a test for you
You said you want my heart
Well, baby, you can have it all
There's just something I need from you
Is to meet my boys
I got a lot of boys
And we can make you right
And if you get too high
Baby come over here and ride it out
Ooh, yeah, ooh, yeah, ooh, yeah
Come over here and ride it out
Ooh, yeah, ooh, yeah, ooh, yeah

That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO"
The Weeknd,Hurt You,"And now I know relationship's my enemy
So stay away from me
I'm warning you
You try to fill the void with every man you meet
'Cause you're upset with me
I'm warning you

'Cause all the nights you slept alone dryin' your eyes
And all the nights you thought about takin' your life
'Cause if it's love you want again, don't waste your time
But if you call me up, I'm fuckin' you on sight

I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you

When you're with him, you close your eyes and think of me
Just call me up again
I'll make you weak
Girl, I'll come to put myself between your legs
Not between your heart
Can't you see?

That all the nights you slept alone, dryin' your eyes ('cause of me, baby)
And all the nights you thought about takin' your life ('cause of me, baby)
If it's love you want again, don't waste your time (don't you waste)
But if you call me up, I'm fuckin' you on sight

I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you


I don't want
I don't want
I don't want
I don't want
I don't wanna, baby
I don't wanna, baby
I don't, ooh"
The Weeknd,Dark Times,"Waking up, half past five
Blood on pillow and one bruised eye
Drunk too much, you know what I'm like
But you shoulda seen the other guy

This ain't the right time for you to fall in love with me
Well baby, I'm just being honest
And I know my lies could not make you believe
We're running in circles, that's why

In my dark times, I'll be going back to the street
Promising everything I do not mean
In my dark time, baby, this is all I could be
And only my mother can love me for me
In my dark time
In my dark time

Light one up, let me bum a smoke
Still coming down, dripping throat
I got another man's blood on my clothes
But it ain't his fault, it's the life I chose

This ain't the right time for you to fall in love with me
My baby, I'm just being honest
And I know my lies can never make you believe
Running in circles, that's why

In my dark times, I'll be going back to these streets
Promising everything I do not mean
In my dark times, maybe this is all I could be
Only my mother could love me for me
In my dark times
In my dark times

In my dark times I've still got some problems, I know
Driving too fast but just moving too slow
And I've got something I've been trying to let go
Pulling me back every time

In my dark times taking it back to the street
Making those promises that I could not keep
In my dark times, baby this is all I could be
Only my mother could love me for me
In my dark time taking it down to the street
Making those promises that I would never keep
In my dark time this is all I could be
Only my mother could love me for me
In my dark times
In my dark time
In my dark times"
The Weeknd,I Was Never There,"What makes a grown man wanna cry?
(Cry, cry, cry, cry)
What makes him wanna take his life?
(Yeah)
His happiness is never real
(Real, real, real, real)
And mindless sex is how he feels, ooh, he heals

When it's time, when it's time, when it's time
It won't matter (it don't matter)
It won't matter (matter)
When it's time, when it's time, when it's time (time, it's time, babe)
It won't matter (it won't matter, babe)
It won't matter (ya)
It was like he was never there
(It was like he was never there)
It was like he was gone in thin air, oh
When it's time, when it's time, when it's time, oh, baby
It won't matter (It won't matter, baby)
It won't matter

When it's time, when it's time, when it's time
It won't matter
It won't matter
When it's time, when it's time, when it's time
It won't matter
It won't matter
It was like he was never there
It was like he was gone in thin air
When it's time, when it's time, when it's time
It won't matter, it won't matter

When it's time, when it's time, when it's time
It won't matter, it won't matter
When it's time, when it's time, when it's time
It won't matter, it won't matter

Ooh, now I know what love is
And I know it ain't you for sure
You'd rather something toxic
So, I poison myself again, again
'Til I feel nothing
In my soul (in my soul)
I'm on the edge of something breaking
I feel my mind is slowly fadin'
If I keep going, I won't make it
If I keep going, I won't make it

And it's all because of you
It's all because of you
It's all because of you
It's all because of you
Woah, woah
Don't you, baby, hey
It won't matter, baby
Don't you know?
Don't you know?
Ooh, no"
The Weeknd,House of Balloons / Glass Table Girls,"Been on another level since you came, no more pain
You look into my eyes, you can't recognize my face
You're in my world now, you can stay, you can stay
But you belong to me, ooh, you belong to me

If it hurts to breathe, open a window (Woo-ooh)
Oh, your mind wants to leave (leave), but you can't go
Oh, This is a happy house (a happy house), we're happy here (we're happy here)
In a happy house, oh this is fun, fun, fun, fun
Fun, fun, fun, fun
Fun, fun, fun, fun

Music got you lost
Nights pass so much quicker than the days did
Same clothes, you ain't ready for your day shift
This place will burn you up
But baby it's okay, them my niggas next door
And they working in the trap, so get naughty if you want
So don't blame it on me that you didn't call your home
So don't blame it on me, girl, cause you wanted to have fun

If it hurts (Woo) to breathe, open a window (Yeah, yeah, yeah)
Oh, your mind wants to leave but you can't go (Ooh)
This is a happy house, we're happy here
In a happy house, oh this is fun, fun, fun, fun (This is fun)
Fun, fun, fun, fun (This is fun to me)
Fun, fun, fun, fun (Fun)


Bring the 707 out
Bring the 707 out
Bring the 707 out
Bring the 707 out
Bring the 707 out
Bring the 7

Two puffs for the lady who be down for that
Whatever, together
Bring your own stash of the greatest, trade it
Roll a dub, burn a dub, cough a dub, taste it
Then watch us chase it
With a handful of pills, no chasers
Jaw clenching on some super-sized papers
And she bad and her head bad
Escaping, her van is a Wonderland
And it's half-past six
Read skies cause time don't exist
But when the stars shine back to the crib
Superstar lines back at the crib
And we can test out the tables
We got some brand new tables
All glass and it's four feet wide
But it's a must to get us ten feet high
She give me sex in a handbag
I get her wetter than a wet nap
And no closed doors
So I listen to her moans echo
""I heard he do drugs now""
You heard wrong, I been on it for a minute
We just never act a fool
That's just how we fuckin' live it
And when we act a fool
It's probably cause we mixed it
Yeah I'm always on that okey dokey
Them white boys know the deal
Ain't no fuckin' phony
Big O know the deal
He the one who showed me
Watch me ride this fucking beat
Like he fuckin' told me
""Is that your girl, what's her fucking story?""
""She kinda bad but she ride it like a fucking pony""
I cut down on her man, be her fuckin' story
Yeah I'm talking 'bout you, man, get to know me
Ain't no offense, though, I promise you
If you a real man, dude, you gon' decide the truth
But I'm a nice dude with some nice dreams
And we could turn this to a nightmare: Elm Street

La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables (Ooh, ooh)
Bring the 707 out
La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables (Ooh, ooh)
Bring the 707 out
La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables (La, la, la, la, la, la, la, la) (Ooh, ooh)
Bring the 707 out
La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables
Bring the 707 out (La, la, la, la, la, la, la, la)
Bring the 707 out (La, la, la, la, la, la, la, la)
Bring the 707 out (La, la, la, la, la, la, la, la)
Ooh, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la"
